stimulusset;Correct;Difficulty_PercentCorrect
pagina / lichting / lezen;noot;24,34
tennis / eet / poot;tafel;30,26
winkel / taal / veger;straat;31,58
peper / muziek / wal;voor;26,32
alarm / bos / blaar;brand;44,74
recht / toon / biljet;bank;51,97
zwem / hals / auto;band;50,66
lees / toilet / duik;bril;54,61
blazen / borrel / brillen;glas;44,74
vinger / trouw / baan;ring;58,55
kast / stand / kilo;meter;23,03
span / hand / thee;doek;56,58
dop / achter / tand;wiel;22,37
kook / nummer / borst;plaat;28,95
afvoer / beeld / dwang;buis;48,68
zomer / zone / schrift;tijd;36,18
punt / vorm / sporter;top;48,68
kop / gordijn / mops;rol;32,89
kerst / boek / vrij;dag;37,5
taart / aard / pijn;appel;36,84
straf / stelling / balk;taak;19,74
steen / zuur / raap;kool;46,05
griep / bier / scheur;buik;51,32
belasting / nacht / regeling;dienst;32,89
haar / fiets / breed;band;46,05
reis / model / kaartje;trein;43,42
neus / flessen / erwt;dop;47,37
doek / broek / binnen;zak;28,95
witje / plak / pop;sneeuw;50,66
hand / machine / middel;was;41,45
wand / flipper / plank;kast;48,03
boom / hagel / zin;slag;56,58
code / kantoor / aftrek;post;35,53
breek / erts / draad;ijzer;55,92
problemen / los / boete;geld;43,42
arm / fiets / breedte;band;37,5
